classe_num,avgNote_w24,ndevoir_w24,log_w24,logMonday_w24,logSunday_w24,logWed_w24,logThursday_w24,DiffDaysWeek,log_resource,log_core,logviewed_w24,logviewedCore_w24,logviewedResource_w24,logViewedTargetCourse_w24,logViewedTargetCourseModule_w24,progress_dvr,progress_log,totalDevoir,bourse,redoublant
-1,8.66667,3,248,48,0,0,48,0,112,136,248,136,112,136,112,0,0,4,1,0
1,20,2,621,234,0,135,108,1,216,405,621,405,216,405,216,0,1,4,1,0
1,17.3333,3,2240,744,32,616,312,0,960,1280,2240,1280,960,1280,960,0,0,6,0,0
1,17.5,4,80,0,0,0,0,0,48,32,80,32,48,32,48,0,0,6,0,0
1,18.5,2,488,120,152,0,128,0,184,304,488,304,184,304,184,0,0,2,0,0
0,9.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,14,2,512,112,0,224,0,0,232,280,512,280,232,280,232,0,0,4,0,0
1,13,3,424,40,384,0,0,0,272,152,424,152,272,152,272,0,0,5,0,0
1,17,1,176,0,0,0,56,0,56,120,176,120,56,120,56,0,0,6,0,0
