classe_num,avgNote_w34,ndevoir_w34,log_34,logMonday_w34,logSunday_w34,logWed_w34,logThursday_w34,DiffDaysWeek,log_resource,log_core,logviewed_w34,logviewedCore_w34,logviewedResource_w34,logViewedTargetCourse_w34,logViewedTargetCourseModule_w34,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,16.6667,3,232,128,0,40,0,0,96,136,232,136,96,136,96,0,0,3,0,0
1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,11.4,5,400,72,0,88,16,1,64,336,400,336,64,336,64,0,1,6,0,0
1,19.5,4,24,8,0,0,0,0,0,24,24,24,0,24,0,0,0,6,1,0
1,17.6667,3,952,80,0,320,16,1,320,632,952,632,320,632,320,0,1,4,0,0
1,19,4,2408,800,32,800,256,0,816,1592,2408,1592,816,1592,816,0,0,4,0,0
1,17.25,4,488,0,184,112,192,1,240,248,488,248,240,248,240,0,1,6,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15.6,5,256,24,0,96,0,0,32,224,256,224,32,224,32,0,0,5,1,0
0,9.2,5,216,152,0,0,64,0,56,160,216,160,56,160,56,0,0,6,1,0
1,15,2,184,0,0,72,104,0,80,104,184,104,80,104,80,0,0,2,1,1
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0
1,18.5,2,16,0,0,0,0,0,0,16,16,16,0,16,0,0,0,3,0,0
1,15.2,5,120,0,0,0,64,0,24,96,120,96,24,96,24,0,0,6,0,0
0,12.6,5,736,72,40,128,0,0,264,472,736,472,264,472,264,0,0,6,0,1
0,11.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,8.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16.25,4,40,40,0,0,0,1,8,32,40,32,8,32,8,0,1,5,0,0
1,13,5,200,64,0,72,0,0,64,136,200,136,64,136,64,0,0,6,0,0
1,16.4,5,480,240,0,64,72,1,120,360,480,360,120,360,120,0,1,6,1,0
1,14,4,776,128,0,368,184,0,480,296,776,296,480,296,480,0,0,4,0,0
-1,6.25,4,24,0,0,0,0,0,0,24,24,24,0,24,0,0,0,5,1,0
1,16.6667,3,584,264,0,136,48,1,176,408,584,408,176,408,176,0,1,3,0,0
1,16.2,5,544,112,64,64,0,0,176,368,544,368,176,368,176,0,0,5,0,0
1,15.5,6,2952,256,56,832,680,0,808,2144,2952,2144,808,2144,808,0,0,6,0,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
