classe_num,avgNote_w29,ndevoir_w29,log_w29,logMonday_w29,logSunday_w29,logWed_w29,logThursday_w29,DiffDaysWeek,log_forum,log_core,logviewed_w29,logviewedCore_w29,logviewedResource_w29,logViewedTargetCourse_w29,logViewedTargetCourseModule_w29,progress_dvr,progress_log,totalDevoir,bourse,redoublant
1,17,4,100,40,0,0,10,0,0,70,100,70,30,70,30,0,0,6,0,0
0,11.5,4,32,0,0,0,0,0,0,24,32,24,8,24,8,0,0,5,0,0
-1,5.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,15,4,224,48,0,64,40,0,0,152,224,152,72,152,72,0,0,6,0,0
1,17.75,4,32,0,0,32,0,0,0,24,32,24,8,24,8,0,0,6,0,0
1,12.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.5,2,384,8,48,208,0,0,0,272,384,272,112,272,112,0,0,4,0,0
0,12,5,400,0,0,0,120,0,0,168,400,168,232,168,232,1,0,6,0,0
1,16.3333,3,184,0,0,32,80,0,0,120,184,120,64,120,64,0,0,4,0,0
1,19,5,32,0,0,32,0,0,0,32,32,32,0,32,0,0,0,6,1,0
-1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
-1,5,1,1139,136,0,340,527,0,0,578,1139,578,561,578,561,0,0,1,0,0
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,16.75,4,24,0,0,0,0,0,0,24,24,24,0,16,0,0,0,5,0,0
1,18.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,11.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,14.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,17.5,2,496,8,0,344,32,0,0,288,496,288,208,288,208,0,0,6,1,0
1,17.3333,3,96,32,0,0,32,0,0,72,96,72,24,72,24,0,0,6,0,0
1,17.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,14.5,4,312,0,0,0,0,0,0,128,312,128,184,128,184,0,0,6,0,0
1,13.75,4,32,0,0,0,32,0,0,24,32,24,8,24,8,0,0,6,1,0
0,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,16.3333,3,1208,200,72,72,368,0,0,872,1208,872,336,872,336,0,0,3,0,0
1,12.25,4,632,176,0,0,0,1,0,376,632,376,256,376,256,0,1,6,0,0
1,12.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,16.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,12.5,2,8,8,0,0,0,0,0,8,8,8,0,8,0,0,0,4,0,0
1,15.5,4,608,8,384,0,216,0,0,336,608,336,272,336,272,0,0,6,1,0
0,12.5,2,592,144,0,0,80,0,0,392,592,392,200,392,200,0,0,3,0,0
-1,5.66667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,19.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,15.5,4,424,8,0,0,0,0,0,128,424,128,296,128,296,0,0,6,0,0
1,14.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0
0,8.8,5,240,0,160,0,0,0,0,120,240,120,120,120,120,0,0,6,1,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
1,18.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,9.25,4,40,0,0,0,0,0,0,32,40,32,8,32,8,0,0,5,0,0
1,17.8,5,32,0,0,0,32,0,0,24,32,24,8,24,8,1,0,6,0,0
0,9.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
1,19.5,4,200,0,0,0,0,0,0,144,200,144,56,144,56,0,0,6,0,0
1,17.6667,3,96,0,0,0,0,0,0,80,96,80,16,80,16,0,0,5,0,0
-1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,11.5,2,432,0,0,0,0,0,0,136,432,136,296,136,296,0,0,4,0,0
1,13.3333,3,240,40,0,64,0,0,0,152,240,152,88,152,88,0,0,3,0,0
1,14.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
1,14.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,10.5,2,120,0,120,0,0,0,0,72,120,72,48,72,48,0,0,4,0,0
1,17.6,5,48,48,0,0,0,0,0,40,48,40,8,40,8,0,0,6,0,0
1,17.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,16.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
1,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
0,10.5,2,1032,64,32,0,80,1,0,776,1032,776,256,776,256,0,1,3,0,0
1,17,4,408,0,0,0,80,1,0,272,408,272,136,272,136,0,1,5,0,0
1,18.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,11.25,4,32,0,0,32,0,0,0,24,32,24,8,24,8,0,0,6,0,0
1,19,3,456,48,144,48,0,1,0,296,456,296,160,296,160,0,1,6,0,0
1,16,2,240,128,0,16,0,0,0,160,240,160,80,160,80,0,0,4,0,0
1,14.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,17.5,4,8,0,0,8,0,0,0,8,8,8,0,8,0,1,0,5,1,0
1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,15.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,19,3,184,0,0,8,144,0,0,152,184,152,32,152,32,0,0,5,0,0
-1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
-1,8.5,4,560,96,48,104,64,0,0,352,560,352,208,352,208,0,0,6,0,0
1,12,1,600,160,64,56,104,0,0,384,600,384,216,384,216,0,0,2,0,0
1,17,2,232,128,0,40,0,0,0,136,232,136,96,136,96,0,0,3,0,0
1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,11.4,5,368,40,0,88,16,0,0,312,368,312,56,312,56,0,0,6,0,0
1,19.5,4,24,8,0,0,0,0,0,24,24,24,0,24,0,0,0,6,1,0
1,18.5,2,352,40,0,88,16,0,0,248,352,248,104,248,104,0,0,4,0,0
1,19,3,1848,760,32,608,144,1,0,1232,1848,1232,616,1232,616,0,1,4,0,0
1,17.3333,3,376,0,184,0,192,0,0,152,376,152,224,152,224,0,0,6,0,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15.6,5,256,24,0,96,0,0,0,224,256,224,32,224,32,0,0,5,1,0
0,9.2,5,216,152,0,0,64,0,0,160,216,160,56,160,56,1,0,6,1,0
1,15,2,184,0,0,72,104,0,0,104,184,104,80,104,80,0,0,2,1,1
1,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,18.5,2,16,0,0,0,0,0,0,16,16,16,0,16,0,0,0,3,0,0
1,15.25,4,120,0,0,0,64,0,0,96,120,96,24,96,24,0,0,6,0,0
0,13,4,736,72,40,128,0,0,0,472,736,472,264,472,264,0,0,6,0,1
0,11.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,8.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,16.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,14.25,4,200,64,0,72,0,0,0,136,200,136,64,136,64,0,0,6,0,0
1,16.4,5,416,208,0,64,40,1,0,312,416,312,104,312,104,1,1,6,1,0
1,14,4,776,128,0,368,184,0,0,296,776,296,480,296,480,0,0,4,0,0
-1,7,3,24,0,0,0,0,0,0,24,24,24,0,24,0,0,0,5,1,0
1,16.6667,3,552,232,0,136,48,0,0,384,552,384,168,384,168,0,0,3,0,0
1,15.75,4,544,112,64,64,0,0,0,368,544,368,176,368,176,0,0,5,0,0
1,17,3,2184,208,32,760,520,1,0,1568,2184,1568,616,1568,616,0,1,6,0,0
1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,15.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,16.4,5,1392,368,0,384,232,0,0,1016,1392,1016,376,1016,376,0,0,6,0,0
1,13.6667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,17.3333,3,24,16,0,8,0,0,0,24,24,24,0,24,0,0,0,3,0,0
1,14.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,17.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
1,16.8,5,104,0,56,0,0,0,0,72,104,72,32,72,32,0,0,6,0,0
1,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,16.5,2,40,0,0,0,0,0,0,24,40,24,16,24,16,0,0,6,0,0
1,14,1,16,0,0,16,0,0,0,16,16,16,0,16,0,0,0,2,0,0
1,16,4,88,0,0,0,88,0,0,40,88,40,48,40,48,0,0,5,0,0
1,19.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,13.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,17.8,5,104,40,0,64,0,0,0,56,104,56,48,56,48,0,0,6,0,0
1,16.6667,3,32,0,32,0,0,0,0,24,32,24,8,24,8,0,0,5,0,0
1,16,3,48,0,0,0,0,0,0,24,48,24,24,24,24,0,0,3,0,0
1,17.3333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,15.3333,3,136,0,0,0,48,0,0,72,136,72,64,72,64,0,0,3,0,0
1,14,2,90,0,0,0,72,0,0,63,90,63,27,63,27,0,0,4,0,0
1,16.6667,3,128,0,0,0,0,0,0,72,128,72,56,72,56,0,0,5,0,0
